CAS,chemical_name,susdat_name,susdat_id,DTX,,
52-85-7,famphur,,NS00002635,,,
161326-34-7,fenamidone,,NS00000492,,,
60168-88-9,fenarimol,,NS00000135,,,
120928-09-8,fenazaquin,,NS00006654,,,
114369-43-6,fenbuconazole,,NS00000136,,,
126833-17-8,fenhexamid,,NS00008208,,,
122-14-5,fenitrothion,,NS00003255,,,
299-84-3,fenchlorphos,,NS00006758,,,
3766-81-2,fenobucarbe,Fenobucarb,NS00009809,,,
62850-32-2,fenothiocarb,,NS00002816,,,
87714-45-2,fenoxaprop-ethyl,,NS00000137,,,
113158-40-0,fenoxaprop-p,,NS00098481,,,
72490-01-8,fenoxycarb,,NS00000439,,,
39515-41-8,fenpropathrin,,NS00000140,,,
76492-92-7,fenpropimorph,,NS00010881,,,
67306-00-7,fenpropidin,,NS00000452,,,
80-38-6,fenson,,NS00006078,,,
134098-61-6,fenpyroximate,,NS00002695,,,
14255-72-2,fensulfothion(+sulfone),Fensulfothion sulfone,NS00002653,,,
6132-17-8,fensulfothion-oxon(+sulfone),"Phosphoric acid, diethyl p-(methylsulfonyl)phenyl ester",NS00007624,,,
55-38-9,fenthion,,NS00000066,,,
668-34-8,fentin (triphenyltin),,NS00099820,,,
51630-58-1,fenvalerate,,NS00099445,,,
101-42-8,fenuron,,NS00000525,,,
120068-37-3,fipronil,,NS00000349,,,
51630-58-1,fenvelarate,"	Fenvalerate",NS00099445,,,
120068-36-2,fipronil sulfone,,NS00000350,,,
205650-65-3,fipronil-desulfinyl,,NS00000352,,,
90035-08-8,flocoumafen,,NS00019925,,,
104040-78-0,flazasulfuron,,NS00000142,,,
145701-23-1,florasulam,,NS00001447,,,
158062-67-0,flonicamid,,NS00000440,,,
69335-91-7,fluazifop(free acid),Fluazifop (free acid),NS00073849,,,
69806-50-4,fluazifop-butyl,,NS00000512,,,
79622-59-6,fluazinam,,NS00008648,,,
79241-46-6,fluazifop-p-butyl,,NS00098605,,,
272451-65-7,flubendiamide,,NS00004502,,,
70124-77-5,flucythrinate,,NS00002275,,,
131341-86-1,fludioxonil,,NS00011514,,,
142459-58-3,flufenacet,,NS00000324,,,
201668-32-8,flufenacet esa,,NS00000305,,,
201668-31-7,flufenacet oa,,NS00000306,,,
33245-39-5,fluchloralin,,NS00003831,,,
101463-69-8,flufenoxuron,,NS00003296,,,
103361-09-7,flumioxazin,,NS00010176,,,
2164-17-2,fluometuron,,NS00010278,,,
658066-35-4,fluopyram,,NS00001768,,,
239110-15-7,fluopicolide,,NS00004383,,,
361377-29-9,fluoxastrobin,,NS00008659,,,
144740-53-4,flupyrsulfuron-methyl,,NS00009509,,,
951659-40-8,flupyradifurone,Flupyradifurone,NS00502213,,,
136426-54-5,fluquinconazole,,NS00004084,,,
61213-25-0,flurochloridone,,NS00010153,,,
81406-37-3,fluroxypyr-methylheptyl ester,Fluroxypyr-meptyl,NS00006504,,,
69377-81-7,fluroxypyr,,NS00001734,,,
96525-23-4,flurtamone,,NS00009620,,,
85509-19-9,flusilazole,,NS00098479,,,
117337-19-6,fluthiacet-methyl,,NS00003833,,,
66332-96-5,flutolanil,,NS00009245,,,
76674-21-0,flutriafol,,NS00000704,,,
69409-94-5,fluvalinate,,NS00009151,,,
102851-06-9,fluvalinate(tau),Tau-Fluvalinate,NS00098485,,,
133-07-3,folpet,,NS00005935,,,
907204-31-3,fluxapyroxad,,NS00006403,,,
72178-02-0,fomesafen,,NS00005859,,,
944-22-9,fonofos,,NS00008243,,,
173159-57-4,foramsulfuron,,NS00000389,,,
23422-53-9,formetanate(hydrochlorure),Formetanate hydrochloride,NS00083924,,,
2540-82-1,formothion,,NS00004887,,,
98886-44-3,fosthiazate,,NS00000489,,,
3878-19-1,fuberidazole,,NS00000144,,,
57646-30-7,furalaxyl,,NS00000526,,,
65907-30-4,furathiocarb,,NS00000148,,,
60568-05-0,furmecyclox,,NS00009436,,,
5566-34-7,gamma-chlordane,"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",NS00044294,,,
22350-76-1,gardona (trans-isomer),Gardona (trans-isomer),NS00009352,,,
1071-83-6,glyphosate,Glyphosate,NS00006349,,,
51276-47-2,glufosinate,Glufosinate,NS00005957,,,
69806-34-4,haloxyfop(free acid),Haloxyfop,NS00066824,,,
100784-20-1,halosulfuron-methyl,Halosulfuron-methyl,NS00009730,,,
69806-40-2,haloxyfop-methyl(r+s),"	Haloxyfop-methyl",NS00001997,,,
87237-48-7,haloxyfop-2-ethoxyethyl,Haloxyfop-etotyl,NS00000150,,,
608-73-1,sum hch,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH total)",NS00108471,,,
319-84-6,alpha-hch,"Alpha-1,2,3,4,5,6-Hexachlorocyclohexane (a-HCH)",NS00066921,,,
319-85-7,beta-hch,"	Beta-Hexachlorocyclohexane (b-HCH)",NS00066928,,,
58-89-9,,Lindane (g-HCH),NS00002327,,,
319-86-8,,"Delta-1,2,3,4,5,6-Hexachlorocyclohexane (d-HCH)",NS00066938,,,
6108-10-7,,Epsilon-Hexachlorocyclohexane (e-HCH),NS00073947,,,
76-44-8,heptachlor,Heptachlor,NS00008168,,,
,heptachlor epoxide,Sum-Heptachlor epoxides,NS00502086,,,
28044-83-9,heptachlor-exo-epoxide,Heptachlor epoxide A,NS00099458,,,
1024-57-3,heptachlor-endo-epoxide,Heptachlor epoxide B,NS00008890,,,
23560-59-0,heptenophos,,NS00000527,,,
79983-71-4,hexaconazole,,NS00098678,,,
