LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,Hg,7439-97-6,NS00099541,0.341151386,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,38.12366738,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,14.32835821,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,N/A,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,109,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,N/A,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.852878465,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.023454158,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.938166311,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1967,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.108742004,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.108742004,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1969,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.592039801,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1862,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,10.19900498,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,5.572139303,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.542288557,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.542288557,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,N/A,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,9.253731343,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,N/A,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,5.323383085,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.44278607,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.696517413,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,4.676616915,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1967,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.393034826,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,Tawny owl,Tawny owl,Strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1967,N/A,N/A,N/A,N/A,N/A,N/A,brown/grey,N/A,N/A,Small mammal-eating?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,,,,,,,,,Biota-Terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hahn et al. 1993,,
,Pb,7439-92-1,NS00099540,8.61,6.76,mean,0.49–25.61,ug/dl,Biota-Terrestrial,blood,brachial vein,"nitric/perchloric/sulfuric, 8:8:1; thermal treatment",anodic stripping voltammetry (ASV),N/A,0.3 ug/ dl,Eagle Owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,"nestlings, 28 to 30-days old Eagle Owl chicks",N/A,22,N/A,between 2003 and 2007,N/A,N/A,N/A,N/A,d-ALAD levels affected (p=0.044),N/A,N/A,N/A,N/A,"European Rabbit (Oryctolagus cuniculus) is abundant, accounting for 71% of the prey consumed by Eagle Owl. In Southern subarea, the European Rabbit is less abundant (35% of the Eagle Owls’ diet), and the raptor consumes a similar proportion of rats (Rattus rattus and R. norvergicus) (23% of the diet), apart from pigeons (Columba spp.), partridges (Alectoris rufa), hedgehogs (Erinaceus europeus and Atelerix algirus) and yellow-legged gulls (Larus michahellis)",N/A,N/A,N/A,N/A,N/A,N/A,Spain,"mountains Escalona, Altaona, Monte el Valle, Columbares, Sierra Minera Cartagena-La Union, La Muela-Cabo Tin˜oso and Almenara","37* 45' N, 0*57' W","polluted area, land is mainly dedicated to citrus and dry farming",hot semi-arid climate (Köppen climate classification: BSh),N/A,N/A,average annual temperature of 19C,"concentrations of heavy metals in this ancient mining site closed in 1991 are very high, even higher than 1000 mg/kg of lead in soil in some points of the ancient mine",soil,N/A,N/A,"concentrations of heavy metals in this ancient mining site closed in 1991 are very high, even higher than 1000 mg/kg of lead in soil in some points of the ancient mine","Gomez-Ramirez et al. 2011, Ecotoxicology",,
,Pb,7439-92-1,NS00099540,3.18,3.43,mean,ND–18.37,ug/dl,Biota-Terrestrial,blood,brachial vein,"nitric/perchloric/sulfuric, 8:8:1; thermal treatment",anodic stripping voltammetry (ASV),N/A,0.3 ug/ dl,Eagle Owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,"nestlings, 28 to 30-days old Eagle Owl chicks",N/A,196,N/A,between 2003 and 2007,N/A,N/A,N/A,N/A,d-ALAD levels affected (p=0.044),N/A,N/A,N/A,N/A,"European Rabbit (Oryctolagus cuniculus) is abundant, accounting for 71% of the prey consumed by Eagle Owl. In Southern subarea, the European Rabbit is less abundant (35% of the Eagle Owls’ diet), and the raptor consumes a similar proportion of rats (Rattus rattus and R. norvergicus) (23% of the diet), apart from pigeons (Columba spp.), partridges (Alectoris rufa), hedgehogs (Erinaceus europeus and Atelerix algirus) and yellow-legged gulls (Larus michahellis)",N/A,N/A,N/A,N/A,N/A,N/A,Spain,"mountains Escalona, Altaona, Monte el Valle, Columbares, Sierra Minera Cartagena-La Union, La Muela-Cabo Tin˜oso and Almenara","37* 45' N, 0*57' W","non-polluted area, , land is mainly dedicated to citrus and dry farming",hot semi-arid climate (Köppen climate classification: BSh),N/A,N/A,average annual temperature of 19C,"concentrations of heavy metals in this ancient mining site closed in 1991 are very high, even higher than 1000 mg/kg of lead in soil in some points of the ancient mine",soil,N/A,N/A,"concentrations of heavy metals in this ancient mining site closed in 1991 are very high, even higher than 1000 mg/kg of lead in soil in some points of the ancient mine","Gomez-Ramirez et al. 2011, Ecotoxicology",,
,Cd,7440-43-9,NS00099585,4.8,6.0,mean,N/A,mg/kg dw,Biota-Terrestrial,kidney,N/A,N/A,N/A,N/A,N/A,Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,adult,3,N/A,<1993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Netherlands,de Kempen,N/A,N/A,"maritime temperate, Cfb",N/A,N/A,N/A,3 mg/kg dw,N/A,N/A,N/A,zinc smelter,"Denneman et al. 1993, Environmental Ppllution; Gorree et al. 1994, STOTEN",,
,As,7440-38-2,NS00099582,0.32,0.38,mean,N/A,mg/kg,Biota-Terrestrial,feathers,"mixed sample of primaries, secondaries and coverts","nitric acid (69 m/m%), hydrogen peroxide (30% m/m%), microwave digestion system, 200 °C",inductively coupled plasma optical emission spectrometry (ICP-OES),"dry, wellventilated place",0.20 mg/kg,"predatory birds among which Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owls (9)","Birds (Owls includes: Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owl (9))","Aves (Strigiformes included: Otus asio, Tyto alba, Strix aluco, Athene noctua)",Animalia,Aves,Strigiformes,mixed,male,17,3,<2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,territorial and non-migratory behaviour?,N/A,Hungary,"Hortobágyi Madárpark (Bird Hospital Foundation), y birds originated from the eastern and north-eastern region of Hungary",N/A,geographically varied (from mountainous with woody habitats to steppe with sand-hills and rivers). Agricultural areas,humic continental climate (Dfa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"oil refinery, drug company, fertilizer warehouse, chemical and incineration plant, can be found in the area with 100 km distance","Gruz et al. 2019, Environmental Science and Pollution Research",,
,Cd,7440-43-9,NS00099585,0.08,0.04,mean,N/A,mg/kg,Biota-Terrestrial,feathers,"mixed sample of primaries, secondaries and coverts","nitric acid (69 m/m%), hydrogen peroxide (30% m/m%), microwave digestion system, 200 °C",inductively coupled plasma optical emission spectrometry (ICP-OES),"dry, wellventilated place",0.02 mg/kg,"predatory birds among which Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owls (9)","Birds (Owls includes: Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owl (9))","Aves (Strigiformes included: Otus asio, Tyto alba, Strix aluco, Athene noctua)",Animalia,Aves,Strigiformes,mixed,male,17,3,<2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,territorial and non-migratory behaviour?,N/A,Hungary,"Hortobágyi Madárpark (Bird Hospital Foundation), y birds originated from the eastern and north-eastern region of Hungary",N/A,geographically varied (from mountainous with woody habitats to steppe with sand-hills and rivers). Agricultural areas,humic continental climate (Dfa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"oil refinery, drug company, fertilizer warehouse, chemical and incineration plant, can be found in the area with 100 km distance","Gruz et al. 2019, Environmental Science and Pollution Research",,
,Hg,7439-97-6,NS00099541,0.68,0.31,mean,N/A,mg/kg,Biota-Terrestrial,feathers,"mixed sample of primaries, secondaries and coverts","nitric acid (69 m/m%), hydrogen peroxide (30% m/m%), microwave digestion system, 200 °C",inductively coupled plasma optical emission spectrometry (ICP-OES),"dry, wellventilated place",0.20 mg/kg,"predatory birds among which Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owls (9)","Birds (Owls includes: Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owl (9))","Aves (Strigiformes included: Otus asio, Tyto alba, Strix aluco, Athene noctua)",Animalia,Aves,Strigiformes,mixed,male,17,3,<2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,territorial and non-migratory behaviour?,N/A,Hungary,"Hortobágyi Madárpark (Bird Hospital Foundation), y birds originated from the eastern and north-eastern region of Hungary",N/A,geographically varied (from mountainous with woody habitats to steppe with sand-hills and rivers). Agricultural areas,humic continental climate (Dfa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"oil refinery, drug company, fertilizer warehouse, chemical and incineration plant, can be found in the area with 100 km distance","Gruz et al. 2019, Environmental Science and Pollution Research",,
,Pb,7439-92-1,NS00099540,2.25,0.80,mean,N/A,mg/kg,Biota-Terrestrial,feathers,"mixed sample of primaries, secondaries and coverts","nitric acid (69 m/m%), hydrogen peroxide (30% m/m%), microwave digestion system, 200 °C",inductively coupled plasma optical emission spectrometry (ICP-OES),"dry, wellventilated place",0.10 mg/kg,"predatory birds among which Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owls (9)","Birds (Owls includes: Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owl (9))","Aves (Strigiformes included: Otus asio, Tyto alba, Strix aluco, Athene noctua)",Animalia,Aves,Strigiformes,mixed,male,17,3,<2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,territorial and non-migratory behaviour?,N/A,Hungary,"Hortobágyi Madárpark (Bird Hospital Foundation), y birds originated from the eastern and north-eastern region of Hungary",N/A,geographically varied (from mountainous with woody habitats to steppe with sand-hills and rivers). Agricultural areas,humic continental climate (Dfa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"oil refinery, drug company, fertilizer warehouse, chemical and incineration plant, can be found in the area with 100 km distance","Gruz et al. 2019, Environmental Science and Pollution Research",,
,As,7440-38-2,NS00099582,0.4,0.17,mean,N/A,mg/kg,Biota-Terrestrial,feathers,"mixed sample of primaries, secondaries and coverts","nitric acid (69 m/m%), hydrogen peroxide (30% m/m%), microwave digestion system, 200 °C",inductively coupled plasma optical emission spectrometry (ICP-OES),"dry, wellventilated place",0.20 mg/kg,"predatory birds among which Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owls (9)","Birds (Owls includes: Long-eared owl (28), Barn owl (2), Tawny owl (2), Little owl (9))","Aves (Strigiformes included: Otus asio, Tyto alba, Strix aluco, Athene noctua)",Animalia,Aves,Strigiformes,mixed,female,19,3,<2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,territorial and non-migratory behaviour?,N/A,Hungary,"Hortobágyi Madárpark (Bird Hospital Foundation), y birds originated from the eastern and north-eastern region of Hungary",N/A,geographically varied (from mountainous with woody habitats to steppe with sand-hills and rivers). Agricultural areas,humic continental climate (Dfa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"oil refinery, drug company, fertilizer warehouse, chemical and incineration plant, can be found in the area with 100 km distance","Gruz et al. 2019, Environmental Science and Pollution Research",,
