sus_id,categories
5032,manufacturing:beverage:alcohol:beer
5032,manufacturing:building_material
5032,manufacturing:building_material:paving
5032,manufacturing:building_material:roofing
5032,manufacturing:building_material:wood
5032,manufacturing:chemical
5032,manufacturing:cigarettes
5032,manufacturing:cleaning_washing
5032,manufacturing:cleaning_washing:polish
5032,manufacturing:detergent
5032,manufacturing:electrical
5032,manufacturing:electronics
5032,manufacturing:electronics:computer
5032,manufacturing:export
5032,manufacturing:feed:animal
5032,manufacturing:fertilizer
5032,manufacturing:food
5032,manufacturing:food:cooking_oils
5032,manufacturing:food:dairy
5032,manufacturing:food:fats
5032,manufacturing:food:fish
5032,manufacturing:food:fruit
5032,manufacturing:food:grain
5032,manufacturing:food:meat
5032,manufacturing:food:meat:beef
5032,manufacturing:food:meat:pork
5032,manufacturing:food:vegetable
5032,manufacturing:furniture
5032,manufacturing:furniture:kitchen
5032,manufacturing:furniture:office
5032,manufacturing:leather:apparel:bags
5032,manufacturing:machines
5032,manufacturing:machines:beverage
5032,manufacturing:machines:cigarettes
5032,manufacturing:machines:food
5032,manufacturing:machines:medical
5032,manufacturing:metals
5032,manufacturing:minerals
5032,manufacturing:oil
5032,manufacturing:paint
5032,manufacturing:paper
5032,manufacturing:personal_care
5032,manufacturing:personal_care:cosmetics:perfume
5032,manufacturing:personal_care:cosmetics:shampoo:hair
5032,manufacturing:personal_care:toothpaste
5032,manufacturing:pesticide
5032,manufacturing:plastics
5032,manufacturing:radio
5032,manufacturing:raw_material
5032,manufacturing:rubber
5032,manufacturing:soap
5032,manufacturing:textile
5032,manufacturing:TV
5032,metals:cooling_agent
5032,paint
5032,paint:automotive_care
5032,paint:furniture
5032,paint:pesticide:impregnation
5032,paint:water_based
5032,personal_care:cosmetics
5032,personal_care:cosmetics:face
5032,personal_care:cosmetics:hair_dye:colorant
5032,personal_care:cosmetics:hand:cream
5032,personal_care:cosmetics:lotion
5032,personal_care:cosmetics:prohibited_ASEAN
5032,personal_care:cosmetics:shampoo:hair
5032,personal_care:cosmetics:skin
5032,personal_care:first_aid
5032,personal_care:foot
5032,personal_care:shower:gel
5032,personal_care:soap
5032,personal_care:sunscreen
5032,personal_care:wash:hand
5032,pesticide
5032,pesticide:active_ingredient
5032,pesticide:antimicrobial:active_ingredient
5032,pesticide:biocide:active_ingredient
5032,pesticide:biocide:non_agricultural
5032,pesticide:food_additive
5032,pesticide:pesticide_conventional
5032,pesticide:preservatives
5032,pesticide_ACToRUseDB
5032,petrochemical_ACToRUseDB
